step,max_ratio,nonfinite,escaping_rows,rows
0,6.851813316345215,0,40960,40960
250,6.815759181976318,0,40960,40960
500,6.7062835693359375,0,40959,40960
750,6.423919200897217,0,40959,40960
1000,6.118903636932373,0,40958,40960
1250,5.818909168243408,0,40958,40960
1500,5.5155158042907715,0,40956,40960
1750,5.213658332824707,0,40947,40960
2000,4.919918537139893,0,40927,40960
2250,4.632422924041748,0,40887,40960
2500,4.3582634925842285,0,40814,40960
2750,4.108218193054199,0,40695,40960
3000,3.8838119506835938,0,40522,40960
3250,3.685534954071045,0,40241,40960
3500,3.514199733734131,0,39849,40960
3750,3.3697521686553955,0,39288,40960
4000,3.237234354019165,0,38457,40960
4250,3.130765438079834,0,37360,40960
4500,3.035600185394287,0,35905,40960
4750,2.9503462314605713,0,34100,40960
5000,2.8734519481658936,0,32139,40960
5250,2.8057425022125244,0,29978,40960
5500,2.7437186241149902,0,28212,40960
5750,2.6881895065307617,0,26997,40960
6000,2.636918067932129,0,25857,40960
6250,2.5907862186431885,0,21993,40960
6500,2.5503737926483154,0,21401,40960
6750,2.5125389099121094,0,20899,40960
7000,2.478217124938965,0,20488,40960
7250,2.445451021194458,0,20060,40960
7500,2.4152164459228516,0,19630,40960
