run_id,path,family_hint,review_status,checkpoints_count,configs_count,metrics_count,logs_count
adaptive_conversion_kd5_20260915,work_dirs/adaptive_conversion_kd5_20260915,controlled_degree2,needs_review,2,1,5,0
adaptive_conversion_pilot_20260915,work_dirs/adaptive_conversion_pilot_20260915,controlled_degree2,needs_review,2,1,5,0
adaptive_conversion_smoke_20260915,work_dirs/adaptive_conversion_smoke_20260915,controlled_degree2,needs_review,2,1,5,0
casia_r50_pillar_espn_smoke,work_dirs/casia_r50_pillar_espn_smoke,polynomial_conversion,needs_review,15,0,0,20
channelwise_exact_head_20260915,work_dirs/channelwise_exact_head_20260915,channelwise_calibration,needs_review,7,3,13,0
channelwise_goal_383290,work_dirs/channelwise_goal_383290,channelwise_calibration,needs_review,2,1,1,0
channelwise_guarded_smoke_20260914,work_dirs/channelwise_guarded_smoke_20260914,channelwise_calibration,needs_review,2,1,1,0
channelwise_ijbc96_20260914,work_dirs/channelwise_ijbc96_20260914,channelwise_calibration,needs_review,4,1,8,0
channelwise_ijbc96_diag_20260914,work_dirs/channelwise_ijbc96_diag_20260914,channelwise_calibration,needs_review,18,1,22,4
channelwise_ijbc96_guarded_20260914,work_dirs/channelwise_ijbc96_guarded_20260914,channelwise_calibration,needs_review,4,1,4,0
channelwise_ijbc96_guarded_resume_20260914,work_dirs/channelwise_ijbc96_guarded_resume_20260914,channelwise_calibration,needs_review,28,13,86,60
channelwise_ijbc96_nopath_20260914,work_dirs/channelwise_ijbc96_nopath_20260914,channelwise_calibration,needs_review,18,1,31,12
channelwise_ijbc96_nostress_20260914,work_dirs/channelwise_ijbc96_nostress_20260914,channelwise_calibration,needs_review,18,1,21,2
channelwise_linear_head_20260915,work_dirs/channelwise_linear_head_20260915,channelwise_calibration,needs_review,5,1,8,0
channelwise_pair_geometry_20260915,work_dirs/channelwise_pair_geometry_20260915,channelwise_calibration,needs_review,4,1,7,0
channelwise_pair_geometry_8000_20260915,work_dirs/channelwise_pair_geometry_8000_20260915,channelwise_calibration,needs_review,4,1,7,0
channelwise_population_probe_20260915,work_dirs/channelwise_population_probe_20260915,channelwise_calibration,needs_review,0,0,1,2
channelwise_prelu_verified_20260915,work_dirs/channelwise_prelu_verified_20260915,baseline,needs_review,1,0,5,0
channelwise_template_anchor03_20260915,work_dirs/channelwise_template_anchor03_20260915,channelwise_calibration,needs_review,4,1,7,0
channelwise_template_cache_20260915,work_dirs/channelwise_template_cache_20260915,channelwise_calibration,needs_review,1,1,0,0
channelwise_template_cache_expanded_20260915,work_dirs/channelwise_template_cache_expanded_20260915,channelwise_calibration,needs_review,1,1,0,0
channelwise_template_geometry_20260915,work_dirs/channelwise_template_geometry_20260915,channelwise_calibration,needs_review,4,1,7,0
channelwise_template_population_20260915,work_dirs/channelwise_template_population_20260915,channelwise_calibration,needs_review,4,1,7,0
channelwise_template_population_expanded_20260915,work_dirs/channelwise_template_population_expanded_20260915,channelwise_calibration,needs_review,4,1,7,0
channelwise_template_supervised01_20260915,work_dirs/channelwise_template_supervised01_20260915,channelwise_calibration,needs_review,4,1,10,0
channelwise_template_tail01_20260915,work_dirs/channelwise_template_tail01_20260915,channelwise_calibration,needs_review,4,1,7,0
channelwise_template_tail02_20260915,work_dirs/channelwise_template_tail02_20260915,channelwise_calibration,needs_review,4,1,7,0
controlled_degree2_accuracy_recovery_frozen_l3_v2_20260908,work_dirs/controlled_degree2_accuracy_recovery_frozen_l3_v2_20260908,controlled_degree2,needs_review,1,1,0,2
controlled_degree2_accuracy_recovery_head_only_v3_20260908,work_dirs/controlled_degree2_accuracy_recovery_head_only_v3_20260908,controlled_degree2,needs_review,3,1,2,4
controlled_degree2_accuracy_recovery_ms1mv3_v1_20260908,work_dirs/controlled_degree2_accuracy_recovery_ms1mv3_v1_20260908,controlled_degree2,needs_review,3,1,2,4
controlled_degree2_tail_ms1mv3_20260907,work_dirs/controlled_degree2_tail_ms1mv3_20260907,controlled_degree2,needs_review,7,2,3,4
controlled_degree2_tail_ms1mv3_adversarial_smoke2_20260908,work_dirs/controlled_degree2_tail_ms1mv3_adversarial_smoke2_20260908,controlled_degree2,needs_review,3,1,0,2
controlled_degree2_tail_ms1mv3_adversarial_v6_20260908,work_dirs/controlled_degree2_tail_ms1mv3_adversarial_v6_20260908,controlled_degree2,needs_review,3,1,2,4
controlled_degree2_tail_ms1mv3_bn_contract_v14_20260908,work_dirs/controlled_degree2_tail_ms1mv3_bn_contract_v14_20260908,controlled_degree2,needs_review,1,35,14,26
controlled_degree2_tail_ms1mv3_causal_fixed_smoke2_20260908,work_dirs/controlled_degree2_tail_ms1mv3_causal_fixed_smoke2_20260908,controlled_degree2,needs_review,3,1,0,2
controlled_degree2_tail_ms1mv3_causal_fixed_smoke3_20260908,work_dirs/controlled_degree2_tail_ms1mv3_causal_fixed_smoke3_20260908,controlled_degree2,needs_review,3,1,0,2
controlled_degree2_tail_ms1mv3_causal_fixed_smoke_20260908,work_dirs/controlled_degree2_tail_ms1mv3_causal_fixed_smoke_20260908,controlled_degree2,needs_review,3,1,0,2
controlled_degree2_tail_ms1mv3_causal_fixed_v5_20260908,work_dirs/controlled_degree2_tail_ms1mv3_causal_fixed_v5_20260908,controlled_degree2,needs_review,4,1,4,10
controlled_degree2_tail_ms1mv3_damping_v8_20260908,work_dirs/controlled_degree2_tail_ms1mv3_damping_v8_20260908,controlled_degree2,needs_review,2,10,5,14
controlled_degree2_tail_ms1mv3_deployment_v7_20260908,work_dirs/controlled_degree2_tail_ms1mv3_deployment_v7_20260908,controlled_degree2,needs_review,3,11,2,8
controlled_degree2_tail_ms1mv3_deployment_v7_hard_smoke,work_dirs/controlled_degree2_tail_ms1mv3_deployment_v7_hard_smoke,controlled_degree2,needs_review,3,1,0,2
controlled_degree2_tail_ms1mv3_deployment_v7_smoke,work_dirs/controlled_degree2_tail_ms1mv3_deployment_v7_smoke,controlled_degree2,needs_review,3,6,0,4
controlled_degree2_tail_ms1mv3_deployment_v8_hard_smoke,work_dirs/controlled_degree2_tail_ms1mv3_deployment_v8_hard_smoke,controlled_degree2,needs_review,2,1,0,2
controlled_degree2_tail_ms1mv3_exact_v10_20260908,work_dirs/controlled_degree2_tail_ms1mv3_exact_v10_20260908,controlled_degree2,needs_review,0,1,0,2
controlled_degree2_tail_ms1mv3_exact_v11_20260908,work_dirs/controlled_degree2_tail_ms1mv3_exact_v11_20260908,controlled_degree2,needs_review,3,1,0,2
controlled_degree2_tail_ms1mv3_lam4_20260908,work_dirs/controlled_degree2_tail_ms1mv3_lam4_20260908,controlled_degree2,needs_review,4,1,4,8
controlled_degree2_tail_ms1mv3_layer3x2_20260908,work_dirs/controlled_degree2_tail_ms1mv3_layer3x2_20260908,controlled_degree2,needs_review,3,1,2,4
