artifact_group,method,requested_far,tar_percent,far_rule,actual_far,checkpoint_sha256,calibration,review_status,finite_evidence,source,source_sha256,original_csv
channelwise_template_population_20260915,ijbc-IJBC,1e-06,90.12,historical_nearest,unknown,unknown,unknown,needs_review,"{""audits"": [{""embedding_nonfinite_rows"": 0, ""keys"": [""nonfinite_values"", ""embedding_nonfinite_rows"", ""batches"", ""source_images"", ""augmented_embeddings"", ""target"", ""audited_input_rows"", ""audited_output_rows"", ""scope""], ""nonfinite_values"": 0, ""path"": ""work_dirs/channelwise_template_population_20260915/ijbc_full/finite_audit.json""}], ""logs"": []}",docs/0915_result/selection_evidence.json,b3b3e645064c9908daf001457c568f17a43bbe1472855cd30b3113527fa81d28,work_dirs/channelwise_template_population_20260915/ijbc_full/pair_geometry/ijbc_tar_at_far.csv
channelwise_template_population_20260915,ijbc-IJBC,1e-05,93.82,historical_nearest,unknown,unknown,unknown,needs_review,"{""audits"": [{""embedding_nonfinite_rows"": 0, ""keys"": [""nonfinite_values"", ""embedding_nonfinite_rows"", ""batches"", ""source_images"", ""augmented_embeddings"", ""target"", ""audited_input_rows"", ""audited_output_rows"", ""scope""], ""nonfinite_values"": 0, ""path"": ""work_dirs/channelwise_template_population_20260915/ijbc_full/finite_audit.json""}], ""logs"": []}",docs/0915_result/selection_evidence.json,b3b3e645064c9908daf001457c568f17a43bbe1472855cd30b3113527fa81d28,work_dirs/channelwise_template_population_20260915/ijbc_full/pair_geometry/ijbc_tar_at_far.csv
channelwise_template_population_20260915,ijbc-IJBC,0.0001,95.96,historical_nearest,unknown,unknown,unknown,needs_review,"{""audits"": [{""embedding_nonfinite_rows"": 0, ""keys"": [""nonfinite_values"", ""embedding_nonfinite_rows"", ""batches"", ""source_images"", ""augmented_embeddings"", ""target"", ""audited_input_rows"", ""audited_output_rows"", ""scope""], ""nonfinite_values"": 0, ""path"": ""work_dirs/channelwise_template_population_20260915/ijbc_full/finite_audit.json""}], ""logs"": []}",docs/0915_result/selection_evidence.json,b3b3e645064c9908daf001457c568f17a43bbe1472855cd30b3113527fa81d28,work_dirs/channelwise_template_population_20260915/ijbc_full/pair_geometry/ijbc_tar_at_far.csv
channelwise_template_population_20260915,ijbc-IJBC,0.001,97.36,historical_nearest,unknown,unknown,unknown,needs_review,"{""audits"": [{""embedding_nonfinite_rows"": 0, ""keys"": [""nonfinite_values"", ""embedding_nonfinite_rows"", ""batches"", ""source_images"", ""augmented_embeddings"", ""target"", ""audited_input_rows"", ""audited_output_rows"", ""scope""], ""nonfinite_values"": 0, ""path"": ""work_dirs/channelwise_template_population_20260915/ijbc_full/finite_audit.json""}], ""logs"": []}",docs/0915_result/selection_evidence.json,b3b3e645064c9908daf001457c568f17a43bbe1472855cd30b3113527fa81d28,work_dirs/channelwise_template_population_20260915/ijbc_full/pair_geometry/ijbc_tar_at_far.csv
channelwise_template_population_20260915,ijbc-IJBC,0.01,98.35,historical_nearest,unknown,unknown,unknown,needs_review,"{""audits"": [{""embedding_nonfinite_rows"": 0, ""keys"": [""nonfinite_values"", ""embedding_nonfinite_rows"", ""batches"", ""source_images"", ""augmented_embeddings"", ""target"", ""audited_input_rows"", ""audited_output_rows"", ""scope""], ""nonfinite_values"": 0, ""path"": ""work_dirs/channelwise_template_population_20260915/ijbc_full/finite_audit.json""}], ""logs"": []}",docs/0915_result/selection_evidence.json,b3b3e645064c9908daf001457c568f17a43bbe1472855cd30b3113527fa81d28,work_dirs/channelwise_template_population_20260915/ijbc_full/pair_geometry/ijbc_tar_at_far.csv
channelwise_template_population_20260915,ijbc-IJBC,0.1,99.04,historical_nearest,unknown,unknown,unknown,needs_review,"{""audits"": [{""embedding_nonfinite_rows"": 0, ""keys"": [""nonfinite_values"", ""embedding_nonfinite_rows"", ""batches"", ""source_images"", ""augmented_embeddings"", ""target"", ""audited_input_rows"", ""audited_output_rows"", ""scope""], ""nonfinite_values"": 0, ""path"": ""work_dirs/channelwise_template_population_20260915/ijbc_full/finite_audit.json""}], ""logs"": []}",docs/0915_result/selection_evidence.json,b3b3e645064c9908daf001457c568f17a43bbe1472855cd30b3113527fa81d28,work_dirs/channelwise_template_population_20260915/ijbc_full/pair_geometry/ijbc_tar_at_far.csv
quadT12c_ijbc,ijbc-IJBC,1e-06,81.21,historical_nearest,unknown,unknown,unknown,needs_review,"{""audits"": [], ""logs"": [{""nonfinite_augmented_embedding_rows"": [193], ""path"": ""work_dirs/quadT12c_ijbc/slurm-372445.out""}]}",docs/0915_result/selection_evidence.json,b3b3e645064c9908daf001457c568f17a43bbe1472855cd30b3113527fa81d28,work_dirs/quadT12c_ijbc/controlled_d2/ijbc_tar_at_far.csv
quadT12c_ijbc,ijbc-IJBC,1e-05,92.82,historical_nearest,unknown,unknown,unknown,needs_review,"{""audits"": [], ""logs"": [{""nonfinite_augmented_embedding_rows"": [193], ""path"": ""work_dirs/quadT12c_ijbc/slurm-372445.out""}]}",docs/0915_result/selection_evidence.json,b3b3e645064c9908daf001457c568f17a43bbe1472855cd30b3113527fa81d28,work_dirs/quadT12c_ijbc/controlled_d2/ijbc_tar_at_far.csv
quadT12c_ijbc,ijbc-IJBC,0.0001,95.62,historical_nearest,unknown,unknown,unknown,needs_review,"{""audits"": [], ""logs"": [{""nonfinite_augmented_embedding_rows"": [193], ""path"": ""work_dirs/quadT12c_ijbc/slurm-372445.out""}]}",docs/0915_result/selection_evidence.json,b3b3e645064c9908daf001457c568f17a43bbe1472855cd30b3113527fa81d28,work_dirs/quadT12c_ijbc/controlled_d2/ijbc_tar_at_far.csv
quadT12c_ijbc,ijbc-IJBC,0.001,97.1,historical_nearest,unknown,unknown,unknown,needs_review,"{""audits"": [], ""logs"": [{""nonfinite_augmented_embedding_rows"": [193], ""path"": ""work_dirs/quadT12c_ijbc/slurm-372445.out""}]}",docs/0915_result/selection_evidence.json,b3b3e645064c9908daf001457c568f17a43bbe1472855cd30b3113527fa81d28,work_dirs/quadT12c_ijbc/controlled_d2/ijbc_tar_at_far.csv
quadT12c_ijbc,ijbc-IJBC,0.01,98.13,historical_nearest,unknown,unknown,unknown,needs_review,"{""audits"": [], ""logs"": [{""nonfinite_augmented_embedding_rows"": [193], ""path"": ""work_dirs/quadT12c_ijbc/slurm-372445.out""}]}",docs/0915_result/selection_evidence.json,b3b3e645064c9908daf001457c568f17a43bbe1472855cd30b3113527fa81d28,work_dirs/quadT12c_ijbc/controlled_d2/ijbc_tar_at_far.csv
quadT12c_ijbc,ijbc-IJBC,0.1,98.84,historical_nearest,unknown,unknown,unknown,needs_review,"{""audits"": [], ""logs"": [{""nonfinite_augmented_embedding_rows"": [193], ""path"": ""work_dirs/quadT12c_ijbc/slurm-372445.out""}]}",docs/0915_result/selection_evidence.json,b3b3e645064c9908daf001457c568f17a43bbe1472855cd30b3113527fa81d28,work_dirs/quadT12c_ijbc/controlled_d2/ijbc_tar_at_far.csv
channelwise_prelu_verified_20260915,ijbc-IJBC,1e-06,90.39,historical_nearest,unknown,unknown,unknown,needs_review,"{""audits"": [{""embedding_nonfinite_rows"": 0, ""keys"": [""nonfinite_values"", ""embedding_nonfinite_rows"", ""batches"", ""source_images"", ""augmented_embeddings"", ""target"", ""audited_input_rows"", ""audited_output_rows"", ""scope""], ""nonfinite_values"": 0, ""path"": ""work_dirs/channelwise_prelu_verified_20260915/ijbc_full/finite_audit.json""}], ""logs"": []}",docs/0915_result/selection_evidence.json,b3b3e645064c9908daf001457c568f17a43bbe1472855cd30b3113527fa81d28,work_dirs/channelwise_prelu_verified_20260915/ijbc_full/original_prelu/ijbc_tar_at_far.csv
channelwise_prelu_verified_20260915,ijbc-IJBC,1e-05,94.86,historical_nearest,unknown,unknown,unknown,needs_review,"{""audits"": [{""embedding_nonfinite_rows"": 0, ""keys"": [""nonfinite_values"", ""embedding_nonfinite_rows"", ""batches"", ""source_images"", ""augmented_embeddings"", ""target"", ""audited_input_rows"", ""audited_output_rows"", ""scope""], ""nonfinite_values"": 0, ""path"": ""work_dirs/channelwise_prelu_verified_20260915/ijbc_full/finite_audit.json""}], ""logs"": []}",docs/0915_result/selection_evidence.json,b3b3e645064c9908daf001457c568f17a43bbe1472855cd30b3113527fa81d28,work_dirs/channelwise_prelu_verified_20260915/ijbc_full/original_prelu/ijbc_tar_at_far.csv
channelwise_prelu_verified_20260915,ijbc-IJBC,0.0001,96.56,historical_nearest,unknown,unknown,unknown,needs_review,"{""audits"": [{""embedding_nonfinite_rows"": 0, ""keys"": [""nonfinite_values"", ""embedding_nonfinite_rows"", ""batches"", ""source_images"", ""augmented_embeddings"", ""target"", ""audited_input_rows"", ""audited_output_rows"", ""scope""], ""nonfinite_values"": 0, ""path"": ""work_dirs/channelwise_prelu_verified_20260915/ijbc_full/finite_audit.json""}], ""logs"": []}",docs/0915_result/selection_evidence.json,b3b3e645064c9908daf001457c568f17a43bbe1472855cd30b3113527fa81d28,work_dirs/channelwise_prelu_verified_20260915/ijbc_full/original_prelu/ijbc_tar_at_far.csv
