artifact_group,original_csv,source_sha256,method,requested_far,tar_percent,far_rule,actual_far,checkpoint_sha256,calibration,finite_scope,review_status
channelwise_exact_head_20260915,work_dirs/channelwise_exact_head_20260915/mse0/ijbc_full/exact_head_mse0/ijbc_tar_at_far.csv,fbed9fb1a1814ad5484bac26f014f1724e3c5bea4e4e5f0fba4a48ce3836ec52,ijbc-IJBC,1e-06,87.52,unknown,unknown,unknown,unknown,unknown,needs_protocol_review
channelwise_exact_head_20260915,work_dirs/channelwise_exact_head_20260915/mse0/ijbc_full/exact_head_mse0/ijbc_tar_at_far.csv,fbed9fb1a1814ad5484bac26f014f1724e3c5bea4e4e5f0fba4a48ce3836ec52,ijbc-IJBC,1e-05,93.41,unknown,unknown,unknown,unknown,unknown,needs_protocol_review
channelwise_exact_head_20260915,work_dirs/channelwise_exact_head_20260915/mse0/ijbc_full/exact_head_mse0/ijbc_tar_at_far.csv,fbed9fb1a1814ad5484bac26f014f1724e3c5bea4e4e5f0fba4a48ce3836ec52,ijbc-IJBC,0.0001,95.8,unknown,unknown,unknown,unknown,unknown,needs_protocol_review
channelwise_exact_head_20260915,work_dirs/channelwise_exact_head_20260915/mse0/ijbc_full/exact_head_mse0/ijbc_tar_at_far.csv,fbed9fb1a1814ad5484bac26f014f1724e3c5bea4e4e5f0fba4a48ce3836ec52,ijbc-IJBC,0.001,97.39,unknown,unknown,unknown,unknown,unknown,needs_protocol_review
channelwise_exact_head_20260915,work_dirs/channelwise_exact_head_20260915/mse0/ijbc_full/exact_head_mse0/ijbc_tar_at_far.csv,fbed9fb1a1814ad5484bac26f014f1724e3c5bea4e4e5f0fba4a48ce3836ec52,ijbc-IJBC,0.01,98.39,unknown,unknown,unknown,unknown,unknown,needs_protocol_review
channelwise_exact_head_20260915,work_dirs/channelwise_exact_head_20260915/mse0/ijbc_full/exact_head_mse0/ijbc_tar_at_far.csv,fbed9fb1a1814ad5484bac26f014f1724e3c5bea4e4e5f0fba4a48ce3836ec52,ijbc-IJBC,0.1,99.02,unknown,unknown,unknown,unknown,unknown,needs_protocol_review
channelwise_exact_head_20260915,work_dirs/channelwise_exact_head_20260915/mse1/ijbc_full/exact_head_mse1/ijbc_tar_at_far.csv,90491d740a2f284cef1e55ee94d04856246d06a12ec0c764f5db6f63d0be69b3,ijbc-IJBC,1e-06,86.75,unknown,unknown,unknown,unknown,unknown,needs_protocol_review
channelwise_exact_head_20260915,work_dirs/channelwise_exact_head_20260915/mse1/ijbc_full/exact_head_mse1/ijbc_tar_at_far.csv,90491d740a2f284cef1e55ee94d04856246d06a12ec0c764f5db6f63d0be69b3,ijbc-IJBC,1e-05,93.22,unknown,unknown,unknown,unknown,unknown,needs_protocol_review
channelwise_exact_head_20260915,work_dirs/channelwise_exact_head_20260915/mse1/ijbc_full/exact_head_mse1/ijbc_tar_at_far.csv,90491d740a2f284cef1e55ee94d04856246d06a12ec0c764f5db6f63d0be69b3,ijbc-IJBC,0.0001,95.7,unknown,unknown,unknown,unknown,unknown,needs_protocol_review
channelwise_exact_head_20260915,work_dirs/channelwise_exact_head_20260915/mse1/ijbc_full/exact_head_mse1/ijbc_tar_at_far.csv,90491d740a2f284cef1e55ee94d04856246d06a12ec0c764f5db6f63d0be69b3,ijbc-IJBC,0.001,97.35,unknown,unknown,unknown,unknown,unknown,needs_protocol_review
channelwise_exact_head_20260915,work_dirs/channelwise_exact_head_20260915/mse1/ijbc_full/exact_head_mse1/ijbc_tar_at_far.csv,90491d740a2f284cef1e55ee94d04856246d06a12ec0c764f5db6f63d0be69b3,ijbc-IJBC,0.01,98.38,unknown,unknown,unknown,unknown,unknown,needs_protocol_review
channelwise_exact_head_20260915,work_dirs/channelwise_exact_head_20260915/mse1/ijbc_full/exact_head_mse1/ijbc_tar_at_far.csv,90491d740a2f284cef1e55ee94d04856246d06a12ec0c764f5db6f63d0be69b3,ijbc-IJBC,0.1,99.05,unknown,unknown,unknown,unknown,unknown,needs_protocol_review
channelwise_ijbc96_guarded_resume_20260914,work_dirs/channelwise_ijbc96_guarded_resume_20260914/ijbc_calibration_epoch14_1000_full/channelwise_calibration1000/ijbc_tar_at_far.csv,5251288806df1c902a3b21d8dd856c00cbf184c0c3cbfab9dcd15fb3969524bc,ijbc-IJBC,1e-06,90.04,unknown,unknown,unknown,unknown,unknown,needs_protocol_review
