run_id,family,evidence_status,protocol_review,config_snapshots,tar_csv_snapshots,checkpoint_sha256
adaptive_conversion_kd5_20260915,controlled_degree2,local_evidence_captured,needs_review,1,0,unknown
adaptive_conversion_pilot_20260915,controlled_degree2,local_evidence_captured,needs_review,1,0,unknown
adaptive_conversion_smoke_20260915,controlled_degree2,local_evidence_captured,needs_review,1,0,unknown
casia_r50_pillar_espn_smoke,polynomial_conversion,inventory_only,needs_review,0,0,unknown
channelwise_exact_head_20260915,channelwise_calibration,local_evidence_captured,needs_review,0,2,unknown
channelwise_goal_383290,channelwise_calibration,inventory_only,needs_review,0,0,unknown
channelwise_guarded_smoke_20260914,channelwise_calibration,inventory_only,needs_review,0,0,unknown
channelwise_ijbc96_20260914,channelwise_calibration,inventory_only,needs_review,0,0,unknown
channelwise_ijbc96_diag_20260914,channelwise_calibration,inventory_only,needs_review,0,0,unknown
channelwise_ijbc96_guarded_20260914,channelwise_calibration,inventory_only,needs_review,0,0,unknown
channelwise_ijbc96_guarded_resume_20260914,channelwise_calibration,local_evidence_captured,needs_review,0,6,unknown
channelwise_ijbc96_nopath_20260914,channelwise_calibration,inventory_only,needs_review,0,0,unknown
channelwise_ijbc96_nostress_20260914,channelwise_calibration,inventory_only,needs_review,0,0,unknown
channelwise_linear_head_20260915,channelwise_calibration,local_evidence_captured,needs_review,0,1,unknown
channelwise_pair_geometry_20260915,channelwise_calibration,local_evidence_captured,needs_review,0,1,unknown
channelwise_pair_geometry_8000_20260915,channelwise_calibration,local_evidence_captured,needs_review,0,1,unknown
channelwise_population_probe_20260915,channelwise_calibration,inventory_only,needs_review,0,0,unknown
channelwise_prelu_verified_20260915,baseline,local_evidence_captured,needs_review,0,1,unknown
channelwise_template_anchor03_20260915,channelwise_calibration,local_evidence_captured,needs_review,0,1,unknown
channelwise_template_cache_20260915,channelwise_calibration,inventory_only,needs_review,0,0,unknown
channelwise_template_cache_expanded_20260915,channelwise_calibration,inventory_only,needs_review,0,0,unknown
channelwise_template_geometry_20260915,channelwise_calibration,local_evidence_captured,needs_review,0,1,unknown
channelwise_template_population_20260915,channelwise_calibration,local_evidence_captured,needs_review,0,1,unknown
channelwise_template_population_expanded_20260915,channelwise_calibration,local_evidence_captured,needs_review,0,1,unknown
channelwise_template_supervised01_20260915,channelwise_calibration,representative_documented,documented_in_source,0,1,64e3e65555638cbe43d93f104a9d8e913346bab070e4538cebf950479fb3fddf
channelwise_template_tail01_20260915,channelwise_calibration,local_evidence_captured,needs_review,0,1,unknown
channelwise_template_tail02_20260915,channelwise_calibration,local_evidence_captured,needs_review,0,1,unknown
controlled_degree2_accuracy_recovery_frozen_l3_v2_20260908,controlled_degree2,local_evidence_captured,needs_review,1,0,unknown
